category, count
peripherals, 2
none, 13
unknown, 11
semantic, 1
semantic-x86, 6
all, 36
register-arm, 1
vnc, 1
operating system, 3
semantic-arm, 1
graphic, 2
debug, 1
review, 1
virtual, 2
files, 1
risc-v, 1
permissions, 6
architecture-arm, 1
network, 1
