category, count
vnc, 1
none, 13
architecture-arm, 1
all, 36
debug, 1
permissions, 6
virtual, 2
risc-v, 1
network, 1
semantic, 1
operating system, 3
unknown, 11
peripherals, 2
user-level, 1
graphic, 2
semantic-arm, 1
register-arm, 1
semantic-x86, 6
files, 1
