category, count
kernel, 3
assembly-x86, 6
TCG, 1
assembly-arm, 1
user-level-x86, 1
operating system, 1
network, 1
virtual, 15
hypervisor, 3
none, 11
boot, 3
TCG-i386, 1
TCG-x86, 3
user-level, 2
semantic-x86, 1
i386, 2
KVM, 3
debug, 25
x86, 6
arm, 2
