category, count
user-level, 3
register, 1
network, 1
virtual, 2
peripherals, 3
KVM, 1
semantic-x86, 6
debug, 2
user-level-risc-v, 1
files, 1
semantic, 1
none, 13
graphic, 2
permissions, 7
operating system, 5
all, 36
TCG, 1
vnc, 1
PID, 1
risc-v, 3
