category, count
vnc, 74
performance, 233
network, 386
graphic, 359
device, 950
permissions, 111
other, 254
kvm, 397
manual-review, 115
boot, 325
kernel, 455
hypervisor, 478
files, 459
debug, 321
assembly, 152
mistranslation, 136
peripherals, 452
socket, 72
