category, count
none, 8
review, 16
semantic-x86, 6
all, 6
register, 2
architecture-x86, 4
architecture-ppc, 3
graphic, 1
performance, 1
debug, 2
kernel, 1
assembly-x86, 2
mistranslation, 1
TCG, 1
unknown, 1
architecture-i386, 1
user-level, 1
device, 1
x86, 1
architecture, 1
architecture-risc-v, 1
risc-v, 1
