category, count
none, 399
boot, 34
device, 211
PID, 7
vnc, 27
network, 65
all, 201
semantic, 33
files, 45
permissions, 179
debug, 107
KVM, 63
graphic, 394
performance, 116
socket, 30
other, 3901
